company,language,amount
Google,Go,103869
Google,Rust,15775
Google,C++,143409
Google,R,1290
Google,WebAssembly,3583
Google,Perl,32
Google,Haml,138
Google,HCL,8148
Google,Dockerfile,435
Google,Brightscript,6
Google,LookML,153
Google,Jinja,41
Google,Raku,7
Google,Cython,29
Google,Handlebars,13
Google,Coq,17
Google,Logos,13
Google,Vim Script,15
Google,Svelte,5
Google,VHDL,1
Google,TSQL,1
Google,SQL,3
Google,BitBake,7
Google,Python,85000
Google,Java,378948
Google,Lua,79
Google,OpenSCAD,6
Google,Vim script,123
Google,Starlark,10038
Google,CMake,61
Google,Objective-C,5692
Google,SCSS,4449
Google,Makefile,1404
Google,TeX,713
Google,Markdown,46
Google,Emacs Lisp,108
Google,Jsonnet,1966
Google,Dylan,5
Google,PowerShell,101
Google,ZenScript,2
Google,ZAP,2
Google,PLSQL,4
Google,Nunjucks,16
Google,ANTLR,1
Google,wdl,7
Google,C,68033
Google,TypeScript,45537
Google,HTML,14255
Google,Shell,6590
Google,Common Lisp,1111
Google,Dart,26466
Google,LLVM,79
Google,Ruby,2460
Google,Verilog,761
Google,Haskell,657
Google,CSS,431
Google,PHP,5588
Google,Bikeshed,579
Google,Lean,58
Google,Swift,1224
Google,OpenQASM,296
Google,Isabelle,40
Google,Apex,10
Google,Nix,159
Google,Vue,11
Google,Cuda,2
Google,Groovy,47
Google,Meson,6
Google,Fortran,6
Google,CodeQL,5
Google,EmberScript,1
Google,Elixir,2
Google,Kotlin,30271
Google,JavaScript,24792
Google,C#,5216
Google,Jupyter Notebook,7208
Google,Assembly,152
Google,SystemVerilog,3185
Google,MLIR,3726
Google,Julia,31
Google,Scala,81
Google,Smarty,138
Google,Gherkin,115
Google,JSON,29
Google,GLSL,7
Google,Batchfile,24
Google,Open Policy Agent,126
Google,Sage,22
Google,Rich Text Format,3
Google,Astro,15
Google,Tcl,4
Google,OCaml,1
Microsoft,TypeScript,147608
Microsoft,Ruby,2694
Microsoft,HCL,4007
Microsoft,F*,2413
Microsoft,R,271
Microsoft,OCaml,448
Microsoft,Open Policy Agent,164
Microsoft,VBA,526
Microsoft,JSON,1105
Microsoft,Julia,2
Microsoft,PureBasic,11
Microsoft,PostScript,11
Microsoft,Vim script,16
Microsoft,SMT,34
Microsoft,Tcl,6
Microsoft,Cython,4
Microsoft,Erlang,6
Microsoft,Astro,2
Microsoft,Vim Script,3
Microsoft,Nix,1
Microsoft,HLSL,1
Microsoft,Go,62043
Microsoft,C,30288
Microsoft,Rust,8875
Microsoft,PowerShell,202203
Microsoft,Zig,1
Microsoft,Scala,1397
Microsoft,Lean,107
Microsoft,Emacs Lisp,35
Microsoft,AL,562
Microsoft,GDB,70
Microsoft,SCSS,900
Microsoft,Swift,2163
Microsoft,Jsonnet,1440
Microsoft,Jinja,271
Microsoft,Objective-C,884
Microsoft,Stylus,8
Microsoft,Perl,34
Microsoft,ShaderLab,117
Microsoft,ANTLR,6
Microsoft,Coq,6
Microsoft,Starlark,9
Microsoft,Sass,2
Microsoft,Dart,6
Microsoft,Clojure,2
Microsoft,HTML,19249
Microsoft,C#,176411
Microsoft,Python,60463
Microsoft,CMake,2991
Microsoft,Jupyter Notebook,10990
Microsoft,Java,38800
Microsoft,Makefile,289
Microsoft,Dockerfile,2103
Microsoft,TeX,122
Microsoft,Handlebars,56
Microsoft,XSLT,916
Microsoft,wdl,11
Microsoft,Vue,44
Microsoft,Mustache,18
Microsoft,Cuda,1
Microsoft,P4,12
Microsoft,Svelte,16
Microsoft,PLpgSQL,17
Microsoft,LLVM,6
Microsoft,Groovy,5
Microsoft,BitBake,1
Microsoft,C++,50906
Microsoft,Batchfile,165
Microsoft,F#,2256
Microsoft,Bicep,7420
Microsoft,JavaScript,9869
Microsoft,Shell,12788
Microsoft,Lua,170
Microsoft,Haskell,69
Microsoft,PHP,1295
Microsoft,CodeQL,199
Microsoft,GCC Machine Description,47
Microsoft,Rich Text Format,291
Microsoft,Kotlin,1973
Microsoft,CSS,2214
Microsoft,Visual Basic .NET,22
Microsoft,Roff,161
Microsoft,TSQL,292
Microsoft,ABAP,48
Microsoft,Liquid,105
Microsoft,Elixir,13
Microsoft,Smarty,8
Microsoft,Mathematica,6
Microsoft,Boogie,1
Microsoft,Bikeshed,13
Microsoft,Isabelle,3
Microsoft,Q#,9
Microsoft,MDX,1
Red Hat,C++,25118
Red Hat,Ruby,6621
Red Hat,Gherkin,5107
Red Hat,Perl,379
Red Hat,Smarty,778
Red Hat,Cucumber,50
Red Hat,Jsonnet,634
Red Hat,Haskell,438
Red Hat,M4,71
Red Hat,Vim Script,20
Red Hat,Emacs Lisp,13
Red Hat,Objective-C,3
Red Hat,VBA,2
Red Hat,PLpgSQL,3
Red Hat,Augeas,2
Red Hat,Python,138887
Red Hat,TypeScript,42904
Red Hat,HTML,42135
Red Hat,RobotFramework,1668
Red Hat,Nix,227
Red Hat,CSS,2046
Red Hat,OCaml,288
Red Hat,Tcl,59
Red Hat,Elixir,6
Red Hat,Handlebars,7
Red Hat,Swift,8
Red Hat,PLSQL,1
Red Hat,CMake,4
Red Hat,Open Policy Agent,1
Red Hat,Go,211188
Red Hat,Dhall,16
Red Hat,Shell,75372
Red Hat,Roff,818
Red Hat,HCL,116
Red Hat,Jinja,8292
Red Hat,Lua,396
Red Hat,Groovy,3285
Red Hat,Cython,43
Red Hat,Vala,129
Red Hat,Dockerfile,24169
Red Hat,Puppet,315
Red Hat,Jupyter Notebook,249
Red Hat,FreeMarker,34
Red Hat,Vim script,39
Red Hat,PowerShell,24
Red Hat,PostScript,33
Red Hat,CoffeeScript,20
Red Hat,C,109617
Red Hat,Java,71037
Red Hat,Rust,11971
Red Hat,JavaScript,12699
Red Hat,Makefile,3534
Red Hat,SCSS,5211
Red Hat,XSLT,351
Red Hat,Sass,113
Red Hat,C#,180
Red Hat,TeX,48
Red Hat,Scala,489
Red Hat,YAML,235
Red Hat,Kotlin,466
Red Hat,Rich Text Format,47
Red Hat,Clojure,2097
Red Hat,Mustache,85
Red Hat,PHP,48
Red Hat,Svelte,30
Red Hat,GLSL,1
Red Hat,Haml,58
Red Hat,PureScript,5
Red Hat,Nunjucks,1
Red Hat,Meson,3
Red Hat,ANTLR,3
Red Hat,Vue,1
Intel,Python,40485
Intel,Go,14500
Intel,Bikeshed,399
Intel,Lua,40
Intel,CMake,1918
Intel,C#,239
Intel,Cuda,731
Intel,Mustache,155
Intel,LLVM,597
Intel,Roff,15
Intel,Julia,58
Intel,CSS,29
Intel,Meson,12
Intel,Perl,12
Intel,M4,2
Intel,Emacs Lisp,1
Intel,RobotFramework,32
Intel,Cython,1704
Intel,Ruby,105
Intel,Scala,4289
Intel,Tcl,129
Intel,SystemVerilog,24
Intel,Groovy,719
Intel,Dockerfile,114
Intel,Vim script,9
Intel,Singularity,20
Intel,WebAssembly,6
Intel,Open Policy Agent,1
Intel,SCSS,1
Intel,Kotlin,1
Intel,Common Lisp,104
Intel,Jupyter Notebook,5845
Intel,Rust,3000
Intel,Makefile,1037
Intel,TeX,161
Intel,MLIR,2456
Intel,BitBake,784
Intel,JavaScript,981
Intel,Jinja,13
Intel,HCL,43
Intel,Svelte,22
Intel,Smarty,6
Intel,Vim Script,6
Intel,GLSL,2
Intel,Rich Text Format,2
Intel,wdl,2
Intel,QML,1
Intel,C,93663
Intel,Fortran,707
Intel,HTML,3889
Intel,C++,98933
Intel,TypeScript,3804
Intel,Dart,1046
Intel,Shell,4508
Intel,Java,1429
Intel,Assembly,452
Intel,Logos,529
Intel,P4,121
Intel,Vue,12
Intel,Verilog,47
Intel,MATLAB,24
Intel,NASL,55
Intel,Markdown,6
Intel,PowerShell,4
Intel,Sass,2
Intel,PHP,1
Amazon,C#,9986
Amazon,Ruby,5463
Amazon,JavaScript,7450
Amazon,Mustache,168
Amazon,PHP,998
Amazon,F#,194
Amazon,Julia,189
Amazon,SCSS,159
Amazon,Fortran,4
Amazon,Inno Setup,25
Amazon,SMT,34
Amazon,Nix,4
Amazon,Svelte,2
Amazon,Java,39315
Amazon,TeX,19
Amazon,SWIG,2350
Amazon,Boogie,188
Amazon,HTML,5247
Amazon,G-code,8
Amazon,OCaml,68
Amazon,Lean,141
Amazon,Emacs Lisp,49
Amazon,Objective-C,118
Amazon,Dockerfile,310
Amazon,Starlark,231
Amazon,BitBake,158
Amazon,YAML,50
Amazon,CMake,9
Amazon,Vim Script,5
Amazon,Smarty,2
Amazon,C,21993
Amazon,Python,38619
Amazon,Rust,14653
Amazon,Shell,7388
Amazon,HCL,1241
Amazon,Dafny,305
Amazon,Vim script,21
Amazon,COBOL,64
Amazon,Assembly,4
Amazon,ABAP,6
Amazon,Elixir,15
Amazon,Scheme,4
Amazon,PLpgSQL,18
Amazon,CoffeeScript,2
Amazon,Jinja,7
Amazon,Markdown,1
Amazon,Racket,3
Amazon,Erlang,2
Amazon,TypeScript,47095
Amazon,C++,13281
Amazon,Go,42389
Amazon,Swift,782
Amazon,Jupyter Notebook,1703
Amazon,Perl,169
Amazon,Kotlin,7076
Amazon,CSS,547
Amazon,Dart,3435
Amazon,Makefile,930
Amazon,Scala,77
Amazon,Lua,30
Amazon,Groovy,347
Amazon,Vue,119
Amazon,PowerShell,151
Amazon,Jsonnet,2
Amazon,Fluent,7
IBM,C++,11920
IBM,TeX,90
IBM,YAML,459
IBM,Groovy,3121
IBM,Scala,728
IBM,Rust,381
IBM,C#,144
IBM,SWIG,13
IBM,Tcl,3
IBM,PHP,79
IBM,Handlebars,599
IBM,Dart,23
IBM,Batchfile,14
IBM,Assembly,37
IBM,SQLPL,17
IBM,Standard ML,2
IBM,SystemVerilog,2
IBM,Logos,6
IBM,OCaml,1
IBM,TypeScript,6768
IBM,REXX,176
IBM,Java,26692
IBM,Coq,981
IBM,Erlang,146
IBM,Vim script,12
IBM,Vue,1106
IBM,COBOL,531
IBM,XSLT,41
IBM,Swift,102
IBM,PowerShell,30
IBM,Kotlin,391
IBM,PLpgSQL,1
IBM,Puppet,2
IBM,RPGLE,19
IBM,Starlark,11
IBM,HTML,3563
IBM,Shell,12592
IBM,Verilog,98
IBM,OpenQASM,347
IBM,Jsonnet,114
IBM,HCL,2691
IBM,Dockerfile,696
IBM,Jinja,2738
IBM,GDScript,1
IBM,Lua,14
IBM,CMake,4
IBM,EJS,13
IBM,R,3
IBM,BitBake,3
IBM,Rich Text Format,1
IBM,VHDL,1
IBM,Python,22635
IBM,CSS,251
IBM,Jupyter Notebook,3429
IBM,Go,27685
IBM,JavaScript,11779
IBM,C,18625
IBM,Makefile,2242
IBM,SCSS,371
IBM,Ruby,1994
IBM,Smarty,191
IBM,Perl,113
IBM,RobotFramework,322
IBM,Meson,41
IBM,Mustache,43
IBM,Haskell,32
IBM,Gherkin,10
IBM,Sass,2
IBM,Fortran,1
IBM,Roff,1
Oracle,C++,8852
Oracle,HTML,4177
Oracle,TypeScript,809
Oracle,PostScript,17
Oracle,Scala,262
Oracle,Shell,1078
Oracle,JavaScript,3474
Oracle,C#,255
Oracle,Groovy,66
Oracle,PHP,46
Oracle,Emacs Lisp,4
Oracle,Agda,1
Oracle,Haskell,2
Oracle,Standard ML,8
Oracle,M4,1
Oracle,Clojure,1
Oracle,Ruby,2826
Oracle,Python,7609
Oracle,Jupyter Notebook,802
Oracle,Go,13462
Oracle,Batchfile,9
Oracle,Dockerfile,30
Oracle,PLSQL,14
Oracle,PowerShell,6
Oracle,R,2
Oracle,Java,42040
Oracle,C,9434
Oracle,HCL,1834
Oracle,Roff,21
Oracle,CSS,29
Oracle,SCSS,5
Oracle,Forth,3
Oracle,Lua,26
Oracle,Kotlin,6
Oracle,ANTLR,23
Oracle,Jinja,13
Oracle,Rust,9
Oracle,Astro,1
Oracle,Makefile,16
Oracle,Swift,20
Oracle,XSLT,5
Oracle,Dart,10
Oracle,Jsonnet,8
Oracle,Perl,8
Oracle,Objective-C,1
VMware,Go,46726
VMware,C,10979
VMware,Java,40707
VMware,TypeScript,4098
VMware,Lua,16
VMware,YAML,116
VMware,PHP,3
VMware,Swift,91
VMware,Rich Text Format,7
VMware,Emacs Lisp,4
VMware,Objective-C,6
VMware,Roff,3
VMware,Scheme,1
VMware,Gherkin,3
VMware,Python,23039
VMware,C++,1527
VMware,Erlang,147
VMware,SCSS,152
VMware,HTML,6830
VMware,Shell,36566
VMware,Mustache,18700
VMware,PLpgSQL,329
VMware,Kotlin,111
VMware,CSS,454
VMware,Smarty,110
VMware,SaltStack,94
VMware,PowerShell,607
VMware,HCL,512
VMware,Smalltalk,127
VMware,Haskell,1
VMware,Jupyter Notebook,29
VMware,JavaScript,966
VMware,Makefile,135
VMware,C#,159
VMware,Dockerfile,150
VMware,TeX,68
VMware,Vim Script,42
VMware,Vim script,4
VMware,Bicep,2
VMware,Rust,1634
VMware,Ruby,2372
VMware,Jsonnet,19
VMware,Starlark,5583
VMware,Dafny,226
VMware,Perl,20
VMware,OCaml,10
VMware,R,9
VMware,Groovy,32
VMware,Nix,1
VMware,PureBasic,1
SAP,Cython,110
SAP,JavaScript,32895
SAP,Nix,243
SAP,HTML,892
SAP,Rust,963
SAP,Starlark,14
SAP,XSLT,265
SAP,TSQL,12
SAP,Perl,2
SAP,Vim Script,16
SAP,Stylus,3
SAP,TypeScript,14012
SAP,ABNF,102
SAP,Vue,20
SAP,CAP CDS,140
SAP,Lua,20
SAP,PowerShell,8
SAP,PHP,41
SAP,Svelte,7
SAP,Less,16
SAP,Vim script,4
SAP,SMT,1
SAP,Java,6364
SAP,Go,36953
SAP,C++,403
SAP,Shell,1153
SAP,Markdown,28
SAP,ABAP,507
SAP,Jupyter Notebook,84
SAP,Swift,439
SAP,Mustache,36
SAP,Ruby,1010
SAP,CSS,444
SAP,Kotlin,442
SAP,Jinja,4
SAP,Jsonnet,5
SAP,Haskell,1
SAP,Python,5576
SAP,Dart,247
SAP,C,158
SAP,Nunjucks,85
SAP,Smarty,4367
SAP,Makefile,123
SAP,C#,215
SAP,Dockerfile,26
SAP,SCSS,50
SAP,Scala,3
SAP,HCL,1
GitHub,JavaScript,248324
GitHub,Python,928255
GitHub,Shell,55537
GitHub,Perl,1587
GitHub,Kotlin,25542
GitHub,Scala,3630
GitHub,Nix,16211
GitHub,Jupyter Notebook,14896
GitHub,Smarty,23056
GitHub,CSS,31389
GitHub,Pascal,153
GitHub,Mathematica,46
GitHub,Nim,18
GitHub,Fortran,755
GitHub,Svelte,16130
GitHub,XSLT,267
GitHub,Apex,1322
GitHub,Rich Text Format,98
GitHub,Batchfile,726
GitHub,Nunjucks,68
GitHub,Liquid,789
GitHub,CUE,135
GitHub,Less,38
GitHub,BitBake,9
GitHub,reStructuredText,16
GitHub,GDScript,30
GitHub,PureScript,32
GitHub,Assembly,6
GitHub,Nextflow,9
GitHub,Open Policy Agent,1
GitHub,Squirrel,4
GitHub,C,8005
GitHub,Ruby,11500
GitHub,Groovy,178
GitHub,Dockerfile,36873
GitHub,CodeQL,14396
GitHub,D,7
GitHub,Ada,2
GitHub,PHP,27326
GitHub,PLpgSQL,346
GitHub,Emacs Lisp,6624
GitHub,Cython,62
GitHub,OCaml,17
GitHub,MATLAB,202
GitHub,Mustache,3690
GitHub,TeX,16739
GitHub,Vim script,461
GitHub,Smalltalk,236
GitHub,F#,79
GitHub,EJS,33839
GitHub,Makefile,6789
GitHub,Elixir,958
GitHub,Elm,50
GitHub,mcfunction,25
GitHub,Dafny,281
GitHub,Solidity,28
GitHub,Jinja,6937
GitHub,Tcl,987
GitHub,Stylus,22
GitHub,Julia,465
GitHub,Objective-C,59
GitHub,Lean,101
GitHub,CMake,139
GitHub,Verilog,65
GitHub,Xtend,11
GitHub,Vim Snippet,5
GitHub,Hack,16
GitHub,CoffeeScript,9
GitHub,Crystal,23
GitHub,ANTLR,2
GitHub,Inno Setup,1
GitHub,sed,1
GitHub,QML,3
GitHub,Stata,4
GitHub,Go,57397
GitHub,TypeScript,522708
GitHub,Rust,16831
GitHub,Lua,1516
GitHub,Swift,1579
GitHub,DM,56924
GitHub,Clojure,764
GitHub,PowerShell,14295
GitHub,DIGITAL Command Language,118555
GitHub,HCL,3675
GitHub,Adblock Filter List,283
GitHub,Erlang,261
GitHub,Blade,596
GitHub,Scheme,6976
GitHub,Astro,381
GitHub,Handlebars,4
GitHub,Cuda,293
GitHub,Slim,93
GitHub,Berry,66
GitHub,RMarkdown,19
GitHub,MoonScript,16
GitHub,Raku,16
GitHub,Common Lisp,56
GitHub,Jsonnet,8
GitHub,Idris,16
GitHub,Java,21983
GitHub,R,72374
GitHub,HTML,174829
GitHub,C++,14211
GitHub,APL,94
GitHub,C#,20769
GitHub,Vue,15627
GitHub,Sass,607
GitHub,SCSS,7727
GitHub,SourcePawn,188
GitHub,Dart,3973
GitHub,Bicep,30
GitHub,Haskell,636
GitHub,Roff,118747
GitHub,Markdown,293
GitHub,AGS Script,210
GitHub,Zig,69
GitHub,SaltStack,54
GitHub,Haxe,26
GitHub,OpenSCAD,191
GitHub,Vala,19
GitHub,Starlark,10719
GitHub,YAML,584
GitHub,PostScript,955
GitHub,JSON,7
GitHub,Vim Script,1
NVidia,C,22231
NVidia,Go,4692
NVidia,HTML,4461
NVidia,Scala,2856
NVidia,Lua,15
NVidia,Ruby,16
NVidia,HLSL,29
NVidia,HCL,16
NVidia,RAML,15
NVidia,Vim script,3
NVidia,SCSS,4
NVidia,MLIR,1
NVidia,Cuda,7378
NVidia,JavaScript,8020
NVidia,Shell,2052
NVidia,TeX,60
NVidia,C#,339
NVidia,Logos,7
NVidia,P4,2
NVidia,Batchfile,9
NVidia,PowerShell,17
NVidia,Starlark,23
NVidia,Fortran,6
NVidia,Groovy,1
NVidia,Perl,2
NVidia,PureBasic,1
NVidia,C++,23325
NVidia,Python,26064
NVidia,Haskell,66
NVidia,Java,182
NVidia,CMake,292
NVidia,Cython,9
NVidia,GLSL,6
NVidia,Jupyter Notebook,5457
NVidia,BitBake,38
NVidia,Rust,26
NVidia,Dockerfile,102
NVidia,TypeScript,117
NVidia,Makefile,43
NVidia,Scheme,4
NVidia,Nix,3
NVidia,Jinja,2
Huawei,Shell,274
Huawei,PHP,56
Huawei,BitBake,4
Huawei,Perl,2
Huawei,Objective-C,2
Huawei,Fortran,1
Huawei,Rich Text Format,1
Huawei,HTML,1459
Huawei,Python,6122
Huawei,CSS,103
Huawei,Jupyter Notebook,1168
Huawei,Dockerfile,28
Huawei,CMake,34
Huawei,Jinja,2
Huawei,Emacs Lisp,1
Huawei,Rust,1859
Huawei,TypeScript,78
Huawei,OCaml,36
Huawei,Ruby,26
Huawei,Kotlin,32
Huawei,Dart,3
Huawei,D,2
Huawei,C,22246
Huawei,C++,9755
Huawei,Go,6379
Huawei,Java,909
Huawei,Nix,7
Huawei,JavaScript,154
Huawei,Vue,49
Huawei,C#,61
Huawei,Makefile,8
Huawei,Less,5
Huawei,NASL,1
Huawei,Cuda,2
Huawei,WebAssembly,1
Huawei,Assembly,1
SUSE,C,33922
SUSE,Python,29792
SUSE,Go,34408
SUSE,JavaScript,3971
SUSE,Java,8745
SUSE,SCSS,4720
SUSE,Mustache,156
SUSE,Swift,76
SUSE,Jinja,82
SUSE,Vim script,41
SUSE,Scheme,1
SUSE,Ruby,7359
SUSE,Handlebars,61
SUSE,TypeScript,6225
SUSE,Perl,2240
SUSE,XSLT,238
SUSE,HTML,974
SUSE,Makefile,255
SUSE,Dockerfile,249
SUSE,Smarty,1828
SUSE,Emacs Lisp,56
SUSE,Lua,38
SUSE,Roff,2
SUSE,Rich Text Format,3
SUSE,TeX,1
SUSE,Jupyter Notebook,4
SUSE,Nim,2
SUSE,SWIG,2
SUSE,Nix,2
SUSE,Elixir,5324
SUSE,CSS,410
SUSE,SaltStack,574
SUSE,Assembly,5
SUSE,Open Policy Agent,30
SUSE,PHP,16
SUSE,PowerShell,6
SUSE,C++,3238
SUSE,Shell,7075
SUSE,Rust,2557
SUSE,HCL,2846
SUSE,Vue,2775
SUSE,GDScript,112
SUSE,Haskell,202
AMD,C++,18822
AMD,Python,2685
AMD,HTML,129
AMD,Java,1731
AMD,Jupyter Notebook,31
AMD,CMake,93
AMD,Assembly,1721
AMD,Ruby,42
AMD,Emacs Lisp,2
AMD,Rust,874
AMD,BitBake,88
AMD,TeX,10
AMD,SystemVerilog,23
AMD,Logos,2
AMD,PowerShell,1
AMD,C,11706
AMD,Fortran,1041
AMD,Makefile,67
AMD,JavaScript,58
AMD,Tcl,24
AMD,C#,1
AMD,SCSS,1
AMD,Nix,42
AMD,Shell,367
AMD,MLIR,20
AMD,Verilog,26
AMD,Cuda,21
AMD,Go,47
AMD,VBA,2
AMD,Open Policy Agent,1
Yandex,Go,1606
Yandex,TypeScript,7805
Yandex,Kotlin,218
Yandex,Rust,57
Yandex,TeX,130
Yandex,Objective-C,47
Yandex,Scala,9
Yandex,MDX,6
Yandex,Erlang,1
Yandex,C++,11516
Yandex,Makefile,81
Yandex,CSS,8
Yandex,Scheme,5
Yandex,Vim Snippet,1
Yandex,C,18637
Yandex,Swift,1410
Yandex,Python,1147
Yandex,PHP,10
Yandex,Dart,6
Yandex,Vim script,11
Yandex,Lua,4
Yandex,Dockerfile,5
Yandex,Shell,1054
Yandex,JavaScript,1479
Yandex,Java,562
Yandex,Jupyter Notebook,86
Yandex,C#,180
Yandex,HTML,29
Yandex,PowerShell,12
Yandex,Haskell,25
Yandex,Ruby,5
Yandex,HCL,6
Yandex,Nix,1
Meta,C,8039
Meta,Rust,3205
Meta,Objective-C,16
Meta,SCSS,90
Meta,Swift,52
Meta,Emacs Lisp,27
Meta,PHP,43
Meta,CSS,15
Meta,Nix,1
Meta,PowerShell,1
Meta,Markdown,6
Meta,XSLT,3
Meta,C++,37477
Meta,Jupyter Notebook,793
Meta,OCaml,486
Meta,Java,3012
Meta,Haskell,484
Meta,R,226
Meta,Shell,575
Meta,Erlang,102
Meta,HTML,156
Meta,VHDL,72
Meta,CMake,17
Meta,Vim script,25
Meta,Hack,18
Meta,Coq,1
Meta,TypeScript,1690
Meta,Ruby,121
Meta,Boogie,201
Meta,Makefile,75
Meta,JavaScript,3902
Meta,Bikeshed,7
Meta,Go,307
Meta,Lua,7
Meta,Kotlin,11
Meta,TeX,3
Meta,AppleScript,1
Meta,Roff,2
Meta,Python,131422
Meta,C#,25
Datadog,XSLT,15
Datadog,Ruby,6225
Datadog,Jinja,162
Datadog,Shell,1183
Datadog,Smarty,13
Datadog,Swift,2954
Datadog,Starlark,27
Datadog,TypeScript,7050
Datadog,PHP,3599
Datadog,Kotlin,1197
Datadog,Vue,52
Datadog,PowerShell,824
Datadog,SCSS,8
Datadog,Gherkin,1561
Datadog,Open Policy Agent,37
Datadog,Scala,4
Datadog,HCL,2
Datadog,Svelte,1
Datadog,JavaScript,17847
Datadog,Go,37154
Datadog,Makefile,95
Datadog,Jupyter Notebook,116
Datadog,Clojure,3
Datadog,C#,12587
Datadog,Erlang,198
Datadog,Dockerfile,27
Datadog,Vim Script,6
Datadog,Java,9822
Datadog,Python,24811
Datadog,HTML,4963
Datadog,C++,2323
Datadog,Rust,4092
Datadog,C,188
Datadog,Mustache,989
Datadog,Dart,601
Datadog,Lua,1
Adobe,TypeScript,3087
Adobe,Mustache,21
Adobe,C,523
Adobe,SCSS,16206
Adobe,MATLAB,63
Adobe,Dart,59
Adobe,Emacs Lisp,14
Adobe,Lua,7
Adobe,QML,6
Adobe,Jupyter Notebook,4
Adobe,Vue,1
Adobe,JavaScript,23135
Adobe,C++,380
Adobe,Go,478
Adobe,CSS,2274
Adobe,PHP,17584
Adobe,Shell,253
Adobe,C#,8
Adobe,NSIS,3
Adobe,PowerShell,2
Adobe,Handlebars,9
Adobe,Objective-C,18
Adobe,Rust,714
Adobe,Nunjucks,7
Adobe,Ruby,142
Adobe,HTML,9922
Adobe,Rich Text Format,18743
Adobe,Smarty,27
Adobe,Vim Script,10
Adobe,Perl,3
Adobe,Makefile,8
Adobe,R,2
Adobe,Elixir,1
Adobe,Java,4338
Adobe,Swift,1107
Adobe,Python,953
Adobe,Groovy,8628
Adobe,Roff,1984
Adobe,HCL,16
Adobe,Org,9
JetBrains,Shell,19
JetBrains,C#,2335
JetBrains,JetBrains MPS,308
JetBrains,TypeScript,1188
JetBrains,C++,322
JetBrains,Python,255
JetBrains,Scala,4081
JetBrains,HTML,231
JetBrains,HCL,17
JetBrains,CSS,1
JetBrains,Dockerfile,1
JetBrains,Kotlin,16990
JetBrains,Go,127
JetBrains,PHP,35
JetBrains,TeX,5
JetBrains,Vue,1
JetBrains,Dart,2
JetBrains,WebAssembly,2
JetBrains,Java,8377
JetBrains,JavaScript,8711
JetBrains,Batchfile,10
JetBrains,Jupyter Notebook,22
JetBrains,C,19
JetBrains,GDScript,17
JetBrains,SCSS,10
JetBrains,Groovy,16
JetBrains,Rust,22
JetBrains,Swift,2
JetBrains,OCaml,1
JetBrains,Objective-C++,21
JetBrains,F#,1634
JetBrains,ANTLR,8
JetBrains,Ruby,5
Liferay,Java,148461
Liferay,TypeScript,72
Liferay,PHP,1
Liferay,JavaScript,555
Liferay,HTML,21
Liferay,CSS,5
Liferay,Groovy,62
Liferay,Dockerfile,31
Liferay,TeX,1
Liferay,C++,1
Liferay,Vala,4
Liferay,HCL,1
Liferay,SCSS,441
Liferay,Shell,1566
Liferay,Go,112
Liferay,Python,373
Liferay,FreeMarker,2
ARM,LLVM,80
ARM,Rust,1800
ARM,BitBake,1713
ARM,TeX,96
ARM,Standard ML,5
ARM,CSS,73
ARM,Assembly,1
ARM,Python,3780
ARM,Shell,663
ARM,PostScript,116
ARM,Groovy,39
ARM,Makefile,474
ARM,JavaScript,652
ARM,CMake,22
ARM,Fortran,2
ARM,GLSL,1
ARM,Ruby,1
